
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
1131

Valor da solucao inicial:
2865.00

Maior soma de distancias minimas encontrada:
3132.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 448, com distancia 3.00
Vertice 1 conectado com vertice 417, com distancia 1.00
Vertice 2 conectado com vertice 6, com distancia 2.00
Vertice 3 conectado com vertice 86, com distancia 7.00
Vertice 4 conectado com vertice 245, com distancia 4.00
Vertice 5 conectado com vertice 343, com distancia 9.00
Vertice 6 conectado com vertice 302, com distancia 8.00
Vertice 7 conectado com vertice 184, com distancia 6.00
Vertice 8 conectado com vertice 413, com distancia 8.00
Vertice 9 conectado com vertice 392, com distancia 3.00
Vertice 10 conectado com vertice 258, com distancia 4.00
Vertice 11 conectado com vertice 442, com distancia 15.00
Vertice 12 conectado com vertice 433, com distancia 6.00
Vertice 13 conectado com vertice 341, com distancia 2.00
Vertice 14 conectado com vertice 345, com distancia 11.00
Vertice 15 conectado com vertice 345, com distancia 7.00
Vertice 16 conectado com vertice 258, com distancia 9.00
Vertice 17 conectado com vertice 429, com distancia 2.00
Vertice 18 conectado com vertice 353, com distancia 12.00
Vertice 19 conectado com vertice 291, com distancia 6.00
Vertice 20 conectado com vertice 268, com distancia 5.00
Vertice 21 conectado com vertice 315, com distancia 9.00
Vertice 22 conectado com vertice 330, com distancia 6.00
Vertice 23 conectado com vertice 345, com distancia 9.00
Vertice 24 conectado com vertice 215, com distancia 21.00
Vertice 25 conectado com vertice 345, com distancia 10.00
Vertice 26 conectado com vertice 177, com distancia 4.00
Vertice 27 conectado com vertice 324, com distancia 7.00
Vertice 28 conectado com vertice 316, com distancia 6.00
Vertice 29 conectado com vertice 143, com distancia 6.00
Vertice 30 conectado com vertice 128, com distancia 13.00
Vertice 31 conectado com vertice 345, com distancia 2.00
Vertice 32 conectado com vertice 417, com distancia 2.00
Vertice 33 conectado com vertice 87, com distancia 7.00
Vertice 34 conectado com vertice 383, com distancia 14.00
Vertice 35 conectado com vertice 360, com distancia 6.00
Vertice 36 conectado com vertice 18, com distancia 4.00
Vertice 37 conectado com vertice 154, com distancia 13.00
Vertice 38 conectado com vertice 378, com distancia 1.00
Vertice 39 conectado com vertice 95, com distancia 5.00
Vertice 40 conectado com vertice 433, com distancia 3.00
Vertice 41 conectado com vertice 258, com distancia 4.00
Vertice 42 conectado com vertice 192, com distancia 6.00
Vertice 43 conectado com vertice 53, com distancia 7.00
Vertice 44 conectado com vertice 244, com distancia 13.00
Vertice 45 conectado com vertice 184, com distancia 6.00
Vertice 46 conectado com vertice 56, com distancia 3.00
Vertice 47 conectado com vertice 173, com distancia 2.00
Vertice 48 conectado com vertice 301, com distancia 3.00
Vertice 49 conectado com vertice 419, com distancia 7.00
Vertice 50 conectado com vertice 33, com distancia 8.00
Vertice 51 conectado com vertice 324, com distancia 7.00
Vertice 52 conectado com vertice 35, com distancia 3.00
Vertice 53 conectado com vertice 448, com distancia 12.00
Vertice 54 conectado com vertice 426, com distancia 3.00
Vertice 55 conectado com vertice 433, com distancia 4.00
Vertice 56 conectado com vertice 99, com distancia 8.00
Vertice 57 conectado com vertice 144, com distancia 5.00
Vertice 58 conectado com vertice 377, com distancia 6.00
Vertice 59 conectado com vertice 316, com distancia 6.00
Vertice 60 conectado com vertice 164, com distancia 8.00
Vertice 61 conectado com vertice 164, com distancia 2.00
Vertice 62 conectado com vertice 164, com distancia 7.00
Vertice 63 conectado com vertice 239, com distancia 16.00
Vertice 64 conectado com vertice 220, com distancia 2.00
Vertice 65 conectado com vertice 137, com distancia 1.00
Vertice 66 conectado com vertice 210, com distancia 9.00
Vertice 67 conectado com vertice 357, com distancia 8.00
Vertice 68 conectado com vertice 241, com distancia 5.00
Vertice 69 conectado com vertice 68, com distancia 5.00
Vertice 70 conectado com vertice 194, com distancia 6.00
Vertice 71 conectado com vertice 210, com distancia 6.00
Vertice 72 conectado com vertice 101, com distancia 8.00
Vertice 73 conectado com vertice 316, com distancia 9.00
Vertice 74 conectado com vertice 149, com distancia 23.00
Vertice 75 conectado com vertice 271, com distancia 14.00
Vertice 76 conectado com vertice 268, com distancia 2.00
Vertice 77 conectado com vertice 36, com distancia 1.00
Vertice 78 conectado com vertice 417, com distancia 11.00
