
Quantidade de inicios aleatorios:
10000

Quantidade de construcoes em cada inicio:
200

Quantidade de participantes do torneio:
10

Valor da seed:
2567

Valor da solucao inicial:
3961.00

Maior soma de distancias minimas encontrada:
4418.00

Descricao completa da melhor solucao encontrada:
Vertice 0 conectado com vertice 293, com distancia 8.00
Vertice 1 conectado com vertice 90, com distancia 12.00
Vertice 2 conectado com vertice 99, com distancia 4.00
Vertice 3 conectado com vertice 188, com distancia 9.00
Vertice 4 conectado com vertice 369, com distancia 17.00
Vertice 5 conectado com vertice 111, com distancia 9.00
Vertice 6 conectado com vertice 297, com distancia 5.00
Vertice 7 conectado com vertice 441, com distancia 7.00
Vertice 8 conectado com vertice 198, com distancia 13.00
Vertice 9 conectado com vertice 23, com distancia 12.00
Vertice 10 conectado com vertice 282, com distancia 8.00
Vertice 11 conectado com vertice 293, com distancia 13.00
Vertice 12 conectado com vertice 43, com distancia 8.00
Vertice 13 conectado com vertice 404, com distancia 7.00
Vertice 14 conectado com vertice 168, com distancia 9.00
Vertice 15 conectado com vertice 316, com distancia 10.00
Vertice 16 conectado com vertice 369, com distancia 10.00
Vertice 17 conectado com vertice 62, com distancia 9.00
Vertice 18 conectado com vertice 92, com distancia 9.00
Vertice 19 conectado com vertice 86, com distancia 10.00
Vertice 20 conectado com vertice 238, com distancia 9.00
Vertice 21 conectado com vertice 316, com distancia 6.00
Vertice 22 conectado com vertice 293, com distancia 8.00
Vertice 23 conectado com vertice 78, com distancia 5.00
Vertice 24 conectado com vertice 161, com distancia 10.00
Vertice 25 conectado com vertice 23, com distancia 9.00
Vertice 26 conectado com vertice 109, com distancia 9.00
Vertice 27 conectado com vertice 265, com distancia 10.00
Vertice 28 conectado com vertice 369, com distancia 12.00
Vertice 29 conectado com vertice 198, com distancia 6.00
Vertice 30 conectado com vertice 161, com distancia 9.00
Vertice 31 conectado com vertice 367, com distancia 7.00
Vertice 32 conectado com vertice 49, com distancia 15.00
Vertice 33 conectado com vertice 171, com distancia 13.00
Vertice 34 conectado com vertice 99, com distancia 14.00
Vertice 35 conectado com vertice 22, com distancia 3.00
Vertice 36 conectado com vertice 97, com distancia 10.00
Vertice 37 conectado com vertice 231, com distancia 10.00
Vertice 38 conectado com vertice 415, com distancia 2.00
Vertice 39 conectado com vertice 53, com distancia 12.00
Vertice 40 conectado com vertice 22, com distancia 18.00
Vertice 41 conectado com vertice 172, com distancia 3.00
Vertice 42 conectado com vertice 143, com distancia 4.00
